,Return
2015-03-31,0.0
2015-04-01,0.0038987989168276223
2015-04-02,-0.00202343841919527
2015-04-06,0.003921777513256254
2015-04-07,-0.00014352214022361265
2015-04-08,0.0008561032049068705
2015-04-09,-0.0022898342223458493
2015-04-10,0.0036268888087745907
2015-04-13,-0.0017025315016326002
2015-04-14,0.000568382036264998
2015-04-15,0.0031720519069495224
2015-04-16,-0.0014885925986922773
2015-04-17,-0.0015667017892025967
2015-04-20,0.0009204456558058322
2015-04-21,0.0003789741062663329
2015-04-22,-0.004201303177089332
2015-04-23,0.003561012811966455
2015-04-24,0.0019553691011849972
2015-04-27,0.0019299981045862607
2015-04-28,-0.0015281353768136518
2015-04-29,-0.005568696849805075
2015-04-30,-0.007065390464846057
2015-05-01,0.00016643829285089271
2015-05-04,0.000321471276401984
2015-05-05,-0.004742863431089877
2015-05-06,-0.005680704262798533
2015-05-07,0.003157242414894206
2015-05-08,0.006380800894162892
2015-05-11,-0.007996797073896623
2015-05-12,0.000740227494223102
2015-05-13,0.0018463403154202543
2015-05-14,0.0062206753310825695
2015-05-15,0.005177382034735266
2015-05-18,-0.00281530426653819
2015-05-19,-0.004887608968393587
2015-05-20,0.0009646693425119006
2015-05-21,0.0041487526795263045
2015-05-22,-0.0011193724265407732
2015-05-26,-0.0023031492861619626
2015-05-27,0.0045166878441927774
2015-05-28,-0.0005471616998549604
2015-05-29,-0.001418442298920983
2015-06-01,-0.0018898666138159196
2015-06-02,-0.0035492412489195324
2015-06-03,-0.004445739363507808
2015-06-04,-0.00087840839710982
2015-06-05,-0.004979042975743849
2015-06-08,-0.0020866443214214384
2015-06-09,-0.0018780582377379586
2015-06-10,0.0035216711723301767
2015-06-11,0.0048366256290867035
2015-06-12,-0.002833516584797708
2015-06-15,-6.578831811671071e-05
2015-06-16,0.003211177468025602
2015-06-17,0.00042594348874665266
2015-06-18,0.005366457467331793
2015-06-19,0.0011943239279754573
2015-06-22,-0.005043732397339667
2015-06-23,-0.002402101495716849
2015-06-24,-0.0005147928914666744
2015-06-25,-0.002100905188999083
2015-06-26,-0.003745034065599464
2015-06-29,-0.0002055649040482052
2015-06-30,-0.0017130130887230031
2015-07-01,-0.001210710373925034
2015-07-02,0.0009584243663764888
2015-07-06,0.0038593386123828605
2015-07-07,0.0014984963192042344
2015-07-08,-0.0029809538019316397
2015-07-09,-0.003989000567425065
2015-07-10,0.0008270763184925655
2015-07-13,0.0029380518632078204
2015-07-14,0.002588821307208077
2015-07-15,0.0017021109997090817
2015-07-16,0.004069814018103005
2015-07-17,0.0017210481761691268
2015-07-20,-0.005065472385901698
2015-07-21,9.638525922389305e-05
2015-07-22,-0.0018808327223437341
2015-07-23,0.0004495693871513159
2015-07-24,-0.0011489999088393475
2015-07-27,-0.0015767291873670965
2015-07-28,0.001988707967887006
2015-07-29,0.0011133351223667465
2015-07-30,0.0007868897535124588
2015-07-31,0.0029844683732763782
2015-08-03,-0.00010093723659598103
2015-08-04,-0.0027492544488297655
2015-08-05,-0.0006597395567262269
2015-08-06,-0.0012332407661352733
2015-08-07,0.0026354516543235463
2015-08-10,0.002907651772153069
2015-08-11,0.0011274864967576348
2015-08-12,0.002120865255934309
2015-08-13,-0.002975461810423563
2015-08-14,0.0009862460340048884
2015-08-17,0.0038936951016737623
2015-08-18,-0.002972254673879877
2015-08-19,0.002613200204807638
2015-08-20,-0.003253838419243318
2015-08-21,-0.01015869314251996
2015-08-24,-0.014307252410262348
2015-08-25,-0.008371257651790217
2015-08-26,0.007801810131476406
2015-08-27,0.008356324512722016
2015-08-28,0.0019142445360591732
2015-08-31,-0.004874046138105961
2015-09-01,-0.007758934003641636
2015-09-02,0.005027167344478308
2015-09-03,-0.0006842304334546224
2015-09-04,-0.0030292199294487837
2015-09-08,0.005546741706762274
2015-09-09,-0.005474371215844548
2015-09-10,0.0016545181267573314
2015-09-11,0.002873032012191316
2015-09-14,-0.0006540547270961116
2015-09-15,-0.0012589285432155826
2015-09-16,0.003882163591693121
2015-09-17,0.005162838681888989
2015-09-18,-0.0005059865981955521
2015-09-21,-0.0034485652766433634
2015-09-22,-0.0026021793999948077
2015-09-23,0.0002654569194340766
2015-09-24,0.003726412701817141
2015-09-25,-0.0044529298397542995
2015-09-28,-0.007278450482477465
