,Dynamic,60_40,EqualWeight
2015-03-31,0.0,-0.0044087659382303634,-0.002442691368720884
2015-04-30,-0.0028812700498990207,-0.008151805774611054,-0.002384646918649369
2015-05-31,0.001972078322232562,-0.002304781696266245,0.001972078322232562
2015-06-30,-0.019682434775485924,-0.028730360847355696,-0.019682434775485924
2015-07-31,0.00971133626034315,0.031479795920817955,0.00971133626034315
2015-08-31,-0.017455090167652343,-0.04058402749815759,-0.017455090167652343
2015-09-30,-0.004865713391333681,-0.008045551465858725,-0.004865713391333681
2015-10-31,0.03375039727897344,0.04823209208151957,0.03375039727897344
2015-11-30,-0.012643569826542467,-0.0014972200193774654,-0.012643569826542467
2015-12-31,-0.010930231678987323,-0.012132015582642097,-0.008066852156453086
2016-01-31,-0.026004045233762763,-0.009505127758249743,0.003739311292082048
2016-02-29,-0.0023476038278564815,0.011464078802104538,0.022363038985164785
2016-03-31,0.03360509749152962,0.039297830171689085,0.02053574975442829
2016-04-30,-0.001318892990677778,-0.0007155389327268002,0.0020828246351223267
2016-05-31,-0.0026663260667767474,0.013311781126450262,0.00029703980195749935
2016-06-30,0.035224002700064094,0.029040343420479786,0.028601013821310195
2016-07-31,0.0314695035061916,0.030103221076684505,0.024731432106653628
2016-08-31,-0.00048534629072494173,-0.0035007720598554393,-0.007396448884166684
2016-09-30,0.008090236591362876,-0.006537820730045829,0.0026635063700644057
2016-10-31,-0.021085832132565208,-0.028145692176304138,-0.020298793736871934
2016-11-30,-0.014130134595375488,-0.012743066852903828,-0.029798147347875226
2016-12-31,0.008929499021345766,0.010041099844484203,0.0010346711755022664
2017-01-31,0.030027133463330857,0.013880066715842299,0.022152113771089388
2017-02-28,0.03546254204873356,0.029779690476321896,0.022877087805737828
2017-03-31,0.009452868668164749,-0.0020018164288685414,0.0018883888212450906
2017-04-30,0.01857846963514831,0.012183807994299745,0.013793586406473768
2017-05-31,0.023090520447493823,0.01595467646326898,0.013155899615208133
2017-06-30,-0.010318096832832246,0.006830213147793973,-0.006248123566663044
2017-07-31,0.029589148571824042,0.009507002991541169,0.013672647528005566
2017-08-31,0.014302989704191083,0.015160780632632598,0.019211400098042786
2017-09-30,-0.0008453152202723135,0.002538216588977127,-0.009528096453589652
2017-10-31,0.029868649440864647,0.013849292295507576,0.009581186164855593
2017-11-30,0.022707309560836553,0.0211504983501003,0.009252337398106603
2017-12-31,0.010126956180293911,0.014416041475371788,0.009747546262647733
2018-01-31,0.06739182194318083,0.019657576686870515,0.018905088840854622
2018-02-28,-0.022920659483824046,-0.03503015810973853,-0.018929575905923146
2018-03-31,-0.027288802060602912,-0.005832375450842919,-0.003691980979739884
2018-04-30,-0.0010382522899798907,-0.0057280919507003425,-0.006097511039483194
2018-05-31,0.04307977781053429,0.02240642321714903,0.016754256151958247
2018-06-30,0.008679590829465234,0.005959726071465665,-0.0018524578649458112
2018-07-31,0.029299770160455596,0.016021506049102463,0.003403725446073036
2018-08-31,0.04825939309618321,0.024263897129415568,0.015474869885407694
2018-09-30,-7.974362435170246e-05,-0.008106179157479243,-0.007701347218466603
2018-10-31,-0.08373902069144268,-0.05408649082506278,-0.028530986929070856
2018-11-30,0.0023133968827009355,0.01779427175577708,0.008756891159430014
2018-12-31,-0.091232929313113,-0.032928540838710774,-0.0073756565230231885
2019-01-31,0.08418484536326876,0.04850291644260607,0.03453024215876055
2019-02-28,0.030455223426589573,0.013564007724286897,0.006102049610598126
2019-03-31,0.03103763655035552,0.03283641107071689,0.021315795570997942
2019-04-30,0.027045035952505403,0.016037582953227103,0.010589220153168544
2019-05-31,-0.029996491771137057,-0.01322087770400171,-0.005242292708450891
2019-06-30,0.06662195364821244,0.04491282428068799,0.041277274405822295
2019-07-31,0.009958661573383543,0.009927882257590337,0.006611621792666167
2019-08-31,0.04074354027271476,0.03185602447659175,0.03224497161390194
2019-09-30,-0.017053273409364023,0.0005318201588966343,-0.007850238652190478
2019-10-31,0.022374085222690576,0.0084071300331936,0.013964995881317499
2019-11-30,-0.006756288246378972,0.019778961056398092,0.00517323685248372
2019-12-31,0.03704252997275459,0.004059130160258162,0.010379379795125487
2020-01-31,0.03969066298284307,0.029672127142167604,0.03166676096165588
2020-02-29,-0.032010894920641464,-0.024124142457960907,-0.008390972791898488
2020-03-31,-0.05008540872461931,-0.06272449746139386,-0.01988640117469498
2020-04-30,0.09353368925250716,0.0774969004965953,0.05866134446962956
2020-05-31,0.03903311476180216,0.020465380996829152,0.020105195105507345
2020-06-30,0.033187195516277024,0.011150296600138221,0.01814821040082082
2020-07-31,0.070859116583875,0.052858441707437365,0.048207835568246704
2020-08-31,0.025698909956417326,0.019745872910268414,0.017517591121244847
2020-09-30,-0.03999939004778075,-0.020499339829859742,-0.021806660219340523
2020-10-31,-0.02020777151363573,-0.02905818600918697,-0.018512242069616103
2020-11-30,0.01884239338117255,0.07037599797318661,0.029061909407587017
2020-12-31,0.02741840511079774,0.016909677592554795,0.023100012148524085
2021-01-31,-0.009684860056163092,-0.021129515843891333,-0.014812278634969589
2021-02-28,-0.03479267524878704,-0.007616794341925082,-0.020410982483904938
2021-03-31,-0.0012296724414804228,0.004499808488896084,-0.005235157532559209
2021-04-30,0.028858031294392905,0.041316883651017156,0.030096986800501435
2021-05-31,0.010251157981719716,0.003476793296055769,0.012033879983109896
2021-06-30,0.019103151045031908,0.030916218694235997,0.00999997288287724
2021-07-31,0.02397353595755991,0.02935527031976437,0.022704169967943333
2021-08-31,0.028263558900111674,0.016184583562679045,0.01027011509790099
2021-09-30,-0.0500800201804511,-0.039993598615798986,-0.03063174650766698
2021-10-31,0.06315697905595963,0.051428005964252455,0.029422883858267523
2021-11-30,0.005578239710671173,0.0058387498029564,0.006914866375292705
2021-12-31,0.024855503142776403,0.018826768444830888,0.010134451231873731
2022-01-31,-0.06745208379328971,-0.04788030758365225,-0.038071819381195415
2022-02-28,-0.02825953225458555,-0.02504628510373419,-0.0070273012732198215
2022-03-31,-0.010885208483072284,-0.0012344942269957304,-0.003126271116768109
2022-04-30,-0.11512190824516311,-0.09169100828966015,-0.06603673849314873
2022-05-31,-0.02136106200987531,-0.009177461631406869,-0.010197295557257346
2022-06-30,-0.05602910218725943,-0.05689180966269203,-0.03732716983517481
2022-07-31,0.07303996961751458,0.06377307160708545,0.039982391106813564
2022-08-31,-0.04923792674969574,-0.04374211854007004,-0.03631325163464749
2022-09-30,-0.060145973378722184,-0.08990530640172001,-0.06283345404588903
2022-10-31,-0.010668341226507394,0.020969842879260625,0.002857167632735136
2022-11-30,0.0463510709369821,0.05990479115613456,0.05022348265800991
2022-12-31,-0.001233918655905497,-0.04617503122763589,-0.027677068870846866
2023-01-31,0.03557611814319128,0.06760802343772343,0.05697763816531487
2023-02-28,-0.02214406783715306,-0.035262961329335596,-0.029211396976003834
2023-03-31,0.02962134801584959,0.04100749199882481,0.05146877690278173
2023-04-30,0.007429585148466478,0.010708686983433635,0.007137808673977286
2023-05-31,0.009587824079829277,-0.009816407382659431,0.0028476538778050564
2023-06-30,0.011036548871903973,0.03896563454663715,0.014216967441248896
2023-07-31,0.015206383990855166,0.0086904688009104,0.010361483523156023
2023-08-31,-0.011520724102656366,-0.022949452909468593,-0.013456360840848225
2023-09-30,-0.043282220760065604,-0.060806488467240016,-0.04339483925817822
2023-10-31,-0.021969330028185463,-0.03588733082225892,-0.007670844027649504
2023-11-30,0.10105851440031732,0.09353214625699824,0.06226899947412101
2023-12-31,0.0517589804271239,0.061475465032642784,0.04102759493858099
