,SPY,QQQ,TLT,IEF,GLD,SHY
2015-03-31,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-04-30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-05-31,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-06-30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-07-31,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-08-31,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-09-30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-10-31,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2015-11-30,0.16666667300393506,0.36916914730294303,0.16666596540389028,0.166666201185564,0.016668431991376596,0.11416358111229108
2015-12-31,0.1752625447155707,0.4419142457210491,0.17533195858968778,0.16666644697865216,0.0016719474907950535,0.03915285650424505
2016-01-31,0.15250688512943858,0.35918751252476977,0.017541744473926858,0.22142931524713486,0.00016719381403278193,0.2491673488106971
2016-02-29,0.15024058841126234,0.35091663742011503,0.0017593379784464434,0.22676235112327564,1.671934392616174e-05,0.2703043657229744
2016-03-31,0.15024136833451246,0.35091756300047694,0.0017598059972967896,0.22676280688563324,0.20251791550442033,0.06780054027766014
2016-04-30,0.15024185888866012,0.32193737063202554,0.001760427762912532,0.22676342470444832,0.2925133543074054,0.0067835637045481146
2016-05-31,0.1502420932516246,0.2380405209732845,0.0017608049405980258,0.22676376648850383,0.38251234753916347,0.0006804668068255075
2016-06-30,0.1502420932516246,0.3385861681708663,0.0001760804940598026,0.33767637664885036,0.09159707198570174,0.0817222094488972
2016-07-31,0.15000933764504426,0.3488611219657085,2.5583795733226207e-05,0.3487699274475419,0.00915970422989621,0.1431743249160759
2016-08-31,0.15001050523933018,0.4398865141708617,0.11151304154550377,0.2751023266990986,0.009160072162884215,0.014327540182321583
2016-09-30,0.15001243991775334,0.4489882234475638,0.19243702126991288,0.19795305390607046,0.009160159388283311,0.0014491020704162521
2016-10-31,0.18820145852751397,0.44989438978271634,0.10241964202405517,0.19795356766804742,0.06008134571435186,0.0014495962833152725
2016-11-30,0.27820134250637324,0.44989543684534766,0.012415553060366626,0.19795460877411508,0.06008241583659906,0.0014506429771982642
2016-12-31,0.36820883570292906,0.44989621961155357,0.0012484397036806672,0.17318036383908753,0.006014857327547692,0.001451283815201401
2017-01-31,0.36820883570292906,0.44989621961155357,0.0012484397036806672,0.17318036383908753,0.006014857327547692,0.001451283815201401
2017-02-28,0.36820883570292906,0.44989621961155357,0.0012484397036806672,0.17318036383908753,0.006014857327547692,0.001451283815201401
