,Bull,Bear,Crisis
Bull,0.975564745731875,3.0867395577845427e-07,0.02443494559416915
Bear,1.9180154250667084e-15,0.9873166830416868,0.012683316958311236
Crisis,0.060950793223949744,0.030381028313547817,0.9086681784625026
